	Projected cumulative overdose deaths	Projected cumulative UD person years	% change in Projected cumulative overdose deaths	% change in Projected cumulative UD person years
Baseline	541753.0	28915310.0	0.0	0.0
None	541754.0	28915300.0	1.8458596445243497e-06	-3.4583755111046706e-07
Bup Prov Capacity	539447.0	28878000.0	-0.00425655234027315	-0.0012903199031931527
Bup Providers	541724.0	28914800.0	-5.352992969120614e-05	-1.763771510663382e-05
Developing OUD	537863.0	28622700.0	-0.0071803940171997205	-0.010119552583043378
Diverted Rx Init	541049.0	28846100.0	-0.001299485189745142	-0.0023935416912355427
Fent OD Risk	480354.0	29113200.0	-0.11333393631415055	0.0068437792989250335
Heroin Init	537482.0	28882400.0	-0.007883666541763498	-0.001138151380704547
Nx Kits	527296.0	28961800.0	-0.026685592880888523	0.0016077987751125615
Own Rx Init	541514.0	28891800.0	-0.0004411604550413196	-0.0008130640826607081
Package	424320.0	26795500.0	-0.21676483563542795	-0.07331098992194793
Package (Alternate)	477789.0	26634000.0	-0.1180685663023555	-0.07889626637238197
Peer Recovery	521426.0	28069100.0	-0.037520788994246455	-0.029265119412518834
People with Rx	537185.0	28515700.0	-0.00843188685618723	-0.013820014379925374
Return to OUD	522051.0	28095100.0	-0.036367126716418736	-0.028365941779631622
Bup Prov Capacity 10	540207.0	28890500.0	-0.0028536990104346444	-0.0008580229643050688
Bup Providers 10	541736.0	28915000.0	-3.1379613956913946e-05	-1.072096408442448e-05
Developing OUD 10	539843.0	28770200.0	-0.003525591921041508	-0.0050184487041639875
Diverted Rx Init 10	541400.0	28880700.0	-0.0006515884545170954	-0.0011969437643933266
Fent OD Risk 10	511350.0	29013500.0	-0.056119670772473804	0.0033957789143536764
Heroin Init 10	539611.0	28898800.0	-0.003953831358571157	-0.0005709777968833812
Nx Kits 10	534411.0	28938900.0	-0.013552301510097776	0.0008158307830695918
Own Rx Init 10	541634.0	28903600.0	-0.00021965729769839762	-0.000404975772350357
Package 10	481175.0	27877500.0	-0.11181848554599605	-0.03589136689179538
Package (Alternate) 10	509689.0	27788600.0	-0.059185643642028746	-0.038965862721167435
Peer Recovery 10	532089.0	28512500.0	-0.017838387604683315	-0.013930682396280725
People with Rx 10	539431.0	28709000.0	-0.00428608609458554	-0.0071349745169600465
Return to OUD 10	532312.0	28521700.0	-0.017426760903954387	-0.013612511849259094
Bup Prov Capacity 50	538557.0	28862900.0	-0.0058993674238998215	-0.001812534605369958
Bup Providers 50	541704.0	28914500.0	-9.044712258169314e-05	-2.8012841639947835e-05
Developing OUD 50	531301.0	28165100.0	-0.019292925004568504	-0.02594507892185835
Diverted Rx Init 50	540016.0	28742900.0	-0.0032062582025387952	-0.005962585218695563
Fent OD Risk 50	383800.0	29421400.0	-0.2915590684315546	0.01750249262414963
Heroin Init 50	531176.0	28833700.0	-0.019523657460134045	-0.002822380254612522
Nx Kits 50	507260.0	29026500.0	-0.0636692367185784	0.0038453677307972835
Own Rx Init 50	541148.0	28855600.0	-0.0011167450849372314	-0.002064996017680599
Package 50	281107.0	23431500.0	-0.48111593290669363	-0.18965074211550906
Package (Alternate) 50	385208.0	23138300.0	-0.2889600980520643	-0.19979069911406794
Peer Recovery 50	481150.0	26403400.0	-0.11186463203710917	-0.08687128030098934
People with Rx 50	531028.0	28034200.0	-0.01979684468752365	-0.030472092465894364
Return to OUD 50	484911.0	26557700.0	-0.10492235391405308	-0.08153500688735484
Diverted Rx Init 65%	539512.0	28691800.0	-0.004136571463379067	-0.007729815104870049
Nx Kits + Peer Recovery	507567.0	28111600.0	-0.06310255780770942	-0.02779530982029935
Package (R&R)	441330.0	27608900.0	-0.18536676308206876	-0.04518056351462253
