	Projected cumulative overdose deaths	Projected cumulative UD person years	% change in Projected cumulative overdose deaths	% change in Projected cumulative UD person years
Baseline	479661.0	31793480.0	0.0	0.0
None	484992.0	31874600.0	0.011114099332653686	0.002551466527099267
Bup Prov Capacity	479021.0	31767400.0	-0.0013342756655221083	-0.0008202939722232357
Bup Providers	484725.0	31869900.0	0.010557456203443682	0.0024036374753565824
Developing OUD	479390.0	31316300.0	-0.0005649823521195178	-0.015008737640547684
Diverted Rx Init	483590.0	31714400.0	0.008191201702869319	-0.0024873024280449955
Fent OD Risk	442042.0	32015100.0	-0.07842830665824405	0.006970611584513555
Heroin Init	481460.0	31841700.0	0.0037505655035535513	0.0015166631649004764
Nx Kits	476148.0	31903700.0	-0.007323922520279948	0.0034667485283146103
Own Rx Init	484557.0	31825200.0	0.010207208841244129	0.000997688834314457
Package	391940.0	29084800.0	-0.18288124321135135	-0.08519608422859026
Package (Alternate)	429499.0	28966300.0	-0.10457802489675	-0.08892326351188985
Peer Recovery	468538.0	31046200.0	-0.023189294105628765	-0.02350419016729216
People with Rx	477130.0	31049800.0	-0.005276643295994463	-0.023390959404255212
Return to OUD	468912.0	31065700.0	-0.022409576763589286	-0.022890856867508684
Bup Prov Capacity 10	480691.0	31797300.0	0.002147349899199643	0.00012015042077809664
Bup Providers 10	484830.0	31871700.0	0.010776360804818403	0.0024602528568750575
Developing OUD 10	482238.0	31599100.0	0.005372544359453864	-0.0061138321442006345
Diverted Rx Init 10	484290.0	31794700.0	0.009650565712034124	3.837264747363296e-05
Fent OD Risk 10	463650.0	31944500.0	-0.03337982450105387	0.00475003050940004
Heroin Init 10	483219.0	31858100.0	0.007417738778011971	0.0020324921965132474
Nx Kits 10	480523.0	31889300.0	0.0017971025370000897	0.0030138254761668116
Own Rx Init 10	484775.0	31850100.0	0.010661696489812597	0.0017808682786533592
Package 10	437185.0	30486200.0	-0.08855420807612042	-0.04111786441748434
Package (Alternate) 10	457228.0	30422100.0	-0.04676844688227728	-0.043134001059336693
Peer Recovery 10	477173.0	31480200.0	-0.005186996649717196	-0.009853592623393224
People with Rx 10	481009.0	31454200.0	0.0028103181205059407	-0.010671370356437861
Return to OUD 10	477280.0	31486200.0	-0.004963922436887719	-0.009664874684998308
Bup Prov Capacity 50	477271.0	31736100.0	-0.004982685688434124	-0.0018047725508500486
Bup Providers 50	484579.0	31867200.0	0.01025307456724645	0.00231871440307887
Developing OUD 50	470064.0	30420500.0	-0.02000788056564949	-0.04318432584290867
Diverted Rx Init 50	481514.0	31471800.0	0.003863145012831979	-0.010117797737146106
Fent OD Risk 50	375603.0	32232000.0	-0.21694071437953055	0.013792765057489775
Heroin Init 50	476262.0	31792800.0	-0.007086254667358822	-2.1388033018090502e-05
Nx Kits 50	463560.0	31945100.0	-0.033567457016517914	0.004768902303239532
Own Rx Init 50	483890.0	31748800.0	0.008816643421082807	-0.0014053195812474759
Package 50	273689.0	24912900.0	-0.429411605279562	-0.21641481209354874
Package (Alternate) 50	346696.0	24685200.0	-0.2772061935408549	-0.2235766578556358
Peer Recovery 50	435315.0	29406800.0	-0.09245279478631784	-0.07506822153472976
People with Rx 50	466322.0	29974200.0	-0.02780922359749907	-0.05722179516051719
Return to OUD 50	438217.0	29546500.0	-0.08640268856546603	-0.07067423886910146
Diverted Rx Init 65%	480490.0	31350100.0	0.001728303947996606	-0.013945626587589657
Nx Kits + Peer Recovery	460066.0	31072900.0	-0.040851768227977675	-0.022664395341434784
Package (R&R)	403764.0	29826400.0	-0.1582305002908304	-0.061870547042978626
