	Projected cumulative overdose deaths	Projected cumulative UD person years	% change in Projected cumulative overdose deaths	% change in Projected cumulative UD person years
Baseline	634025.0	27999300.0	0.0	0.0
None	666236.0	28325300.0	0.05080399037892828	0.011643148221562682
Bup Prov Capacity	664046.0	28298300.0	0.0473498679074169	0.010678838399531416
Bup Providers	666206.0	28325000.0	0.050756673632743186	0.011632433667984558
Developing OUD	661972.0	28035000.0	0.044078703521154526	0.001275031875796895
Diverted Rx Init	665509.0	28254800.0	0.049657347896376325	0.009125228130703267
Fent OD Risk	581013.0	28600800.0	-0.083611844958795	0.02148267992414096
Heroin Init	661114.0	28296100.0	0.04272544458026103	0.010600265006625165
Nx Kits	648561.0	28382100.0	0.022926540751547653	0.013671770365687714
Own Rx Init	665991.0	28301600.0	0.050417570285083396	0.010796698488890793
Package	515469.0	26356500.0	-0.1869894720239738	-0.058672895393813415
Package (Alternate)	590391.0	26127900.0	-0.0688206301013367	-0.0668373852203448
Peer Recovery	642247.0	27522200.0	0.012967942904459604	-0.01703971170707839
People with Rx	661653.0	27917400.0	0.04357556878671977	-0.0029250731268281706
Return to OUD	642885.0	27543500.0	0.013974212373329128	-0.016278978403031504
Bup Prov Capacity 10	664799.0	28307700.0	0.048537518236662594	0.011014561078312671
Bup Providers 10	666219.0	28325100.0	0.05077717755609006	0.011636005185843932
Developing OUD 10	664144.0	28181400.0	0.047504435944954855	0.006503734021921977
Diverted Rx Init 10	665871.0	28290000.0	0.050228303300343044	0.010382402417203286
Fent OD Risk 10	624215.0	28461500.0	-0.01547257600252356	0.01650755554603151
Heroin Init 10	663668.0	28310700.0	0.0467536769054848	0.011121706614093924
Nx Kits 10	657263.0	28354100.0	0.036651551594968655	0.012671745365062699
Own Rx Init 10	666114.0	28313600.0	0.050611568944442256	0.0112252806320158
Package 10	588864.0	27365100.0	-0.07122905248215765	-0.022650566264156603
Package (Alternate) 10	628477.0	27240500.0	-0.008750443594495486	-0.027100677516937923
Peer Recovery 10	654876.0	27943100.0	0.032886715823508536	-0.0020071930369687813
People with Rx 10	663907.0	28114900.0	0.047130633650092665	0.004128674645437564
Return to OUD 10	655089.0	27950300.0	0.03322266472142266	-0.0017500437510937774
Bup Prov Capacity 50	663119.0	28286500.0	0.0458877804502977	0.01025739929212516
Bup Providers 50	666183.0	28324700.0	0.050720397460667956	0.011621719114406431
Developing OUD 50	654748.0	27580700.0	0.0326848310397855	-0.014950373759343983
Diverted Rx Init 50	664441.0	28149300.0	0.047972871732187214	0.005357276789062584
Fent OD Risk 50	444318.0	29039900.0	-0.29921059895114543	0.03716521484465683
Heroin Init 50	653525.0	28252600.0	0.03075588502030677	0.009046654737797016
Nx Kits 50	624007.0	28461300.0	-0.0158006387760735	0.016500412510312756
Own Rx Init 50	665619.0	28265200.0	0.049830842632388316	0.009496665988078273
Package 50	328507.0	23174600.0	-0.4818705886991838	-0.17231502216126832
Package (Alternate) 50	477412.0	22751400.0	-0.24701391900950279	-0.18742968574214355
Peer Recovery 50	593636.0	25936700.0	-0.06370253538898309	-0.0736661273674699
People with Rx 50	655467.0	27424000.0	0.03381885572335476	-0.020546942244984694
Return to OUD 50	597914.0	26073800.0	-0.05695516738298963	-0.0687695763822667
Diverted Rx Init 65%	663920.0	28097000.0	0.047151137573439535	0.0034893729486094294
Nx Kits + Peer Recovery	625250.0	27574400.0	-0.013840148259138046	-0.015175379384484612
Package (R&R)	536169.0	27147300.0	-0.15434091715626355	-0.030429332161875475
