	Projected cumulative overdose deaths	Projected cumulative UD person years	% change in Projected cumulative overdose deaths	% change in Projected cumulative UD person years
Baseline	418991.0	29410200.0	0.0	0.0
None	418991.0	29410200.0	0.0	0.0
Bup Prov Capacity	416747.0	29363300.0	-0.0053557236312951825	-0.0015946848372333409
Bup Providers	418964.0	29409600.0	-6.44405249754768e-05	-2.0401085337739967e-05
Developing OUD	415790.0	29115200.0	-0.007639782238759305	-0.010030533624388818
Diverted Rx Init	418364.0	29342000.0	-0.0014964521910971835	-0.00231892336672311
Fent OD Risk	381205.0	29534600.0	-0.09018332136012468	0.00422982502669142
Heroin Init	415908.0	29374300.0	-0.007358153277755369	-0.0012206649393747748
Nx Kits	408161.0	29445400.0	-0.025847810573496804	0.0011968636731474113
Own Rx Init	418776.0	29386800.0	-0.0005131375136936115	-0.0007956423281718588
Package	337032.0	27149900.0	-0.19561040690611492	-0.07685428864815608
Package (Alternate)	369666.0	27048200.0	-0.1177232923857553	-0.08031227261290301
Peer Recovery	403483.0	28524700.0	-0.03701272819702571	-0.03010860177761457
People with Rx	414512.0	29017100.0	-0.010689967087598541	-0.013366111077109302
Return to OUD	404006.0	28554600.0	-0.03576449136138962	-0.029091947691617194
Bup Prov Capacity 10	417480.0	29378600.0	-0.0036062827125164978	-0.0010744571611209716
Bup Providers 10	418975.0	29409900.0	-3.8186977763245515e-05	-1.0200542668869983e-05
Developing OUD 10	417420.0	29264000.0	-0.003749483879128669	-0.004971064460629305
Diverted Rx Init 10	418677.0	29376100.0	-0.0007494194386036932	-0.001159461683361555
Fent OD Risk 10	400201.0	29472100.0	-0.04484583201071145	0.00210471197067684
Heroin Init 10	417445.0	29392200.0	-0.0036898167263735974	-0.0006120325601321991
Nx Kits 10	413489.0	29428100.0	-0.01313154697833605	0.0006086323792425757
Own Rx Init 10	418884.0	29398600.0	-0.00025537541379170437	-0.00039442098319630604
Package 10	376622.0	28299700.0	-0.10112150380318431	-0.03775900877926706
Package (Alternate) 10	394131.0	28243200.0	-0.059333016699642714	-0.039680110981904236
Peer Recovery 10	411629.0	28989100.0	-0.01757078314331334	-0.014318161726203834
People with Rx 10	416714.0	29207200.0	-0.005434484272931877	-0.006902367205935356
Return to OUD 10	411820.0	29000100.0	-0.017114926096264596	-0.013944141828345268
Bup Prov Capacity 50	415879.0	29345400.0	-0.007427367174951252	-0.0022033172164759164
Bup Providers 50	418945.0	29409300.0	-0.00010978756106933085	-3.060162800660995e-05
Developing OUD 50	410390.0	28652900.0	-0.020527887233854666	-0.025749569877117462
Diverted Rx Init 50	417444.0	29240500.0	-0.0036922034124838004	-0.005770106969690787
Fent OD Risk 50	322955.0	29725000.0	-0.22920778727944038	0.010703769440534236
Heroin Init 50	411348.0	29321000.0	-0.01824144194028034	-0.0030329613535440086
Nx Kits 50	393177.0	29494400.0	-0.06160991524877623	0.002862952309062842
Own Rx Init 50	418447.0	29350900.0	-0.0012983572439503473	-0.0020163072675466335
Package 50	237294.0	23627700.0	-0.43365370616552623	-0.19661545994246893
Package (Alternate) 50	300334.0	23445600.0	-0.2831970137783389	-0.20280718934247302
Peer Recovery 50	373366.0	26785100.0	-0.10889255377800477	-0.08925814853350199
People with Rx 50	408470.0	28544500.0	-0.025110324565444125	-0.02943536596146915
Return to OUD 50	376277.0	26953700.0	-0.1019449105112043	-0.08352544355359705
Diverted Rx Init 65%	416995.0	29190400.0	-0.004763825475964878	-0.007473597595392075
Nx Kits + Peer Recovery	393158.0	28557100.0	-0.06165526228487008	-0.02900694316937661
Package (R&R)	349710.0	27984700.0	-0.16535200040096326	-0.04846957858158054
