	1999	1999.25	1999.5	1999.75	2000	2000.25	2000.5	2000.75	2001	2001.25	2001.5	2001.75	2002	2002.25	2002.5	2002.75	2003	2003.25	2003.5	2003.75	2004	2004.25	2004.5	2004.75	2005	2005.25	2005.5	2005.75	2006	2006.25	2006.5	2006.75	2007	2007.25	2007.5	2007.75	2008	2008.25	2008.5	2008.75	2009	2009.25	2009.5	2009.75	2010	2010.25	2010.5	2010.75	2011	2011.25	2011.5	2011.75	2012	2012.25	2012.5	2012.75	2013	2013.25	2013.5	2013.75	2014	2014.25	2014.5	2014.75	2015	2015.25	2015.5	2015.75	2016	2016.25	2016.5	2016.75	2017	2017.25	2017.5	2017.75	2018	2018.25	2018.5	2018.75	2019	2019.25	2019.5	2019.75	2020	2020.25	2020.5	2020.75	2021	2021.25	2021.5	2021.75	2022	2022.25	2022.5	2022.75	2023	2023.25	2023.5	2023.75	2024	2024.25	2024.5	2024.75	2025	2025.25	2025.5	2025.75	2026	2026.25	2026.5	2026.75	2027	2027.25	2027.5	2027.75	2028	2028.25	2028.5	2028.75	2029	2029.25	2029.5	2029.75	2030	2030.25	2030.5	2030.75	2031	2031.25	2031.5	2031.75	2032
ADF effect coeff initiating heroin with Rx OUD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADF fraction of Rx street supply base	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22E-05	6.43E-05	9.65E-05	0.000128682	0.00770652	0.0152844	0.0228622	0.03044	0.0487231	0.0670062	0.0852893	0.103572	0.100276	0.09698	0.0936838	0.0903876	0.0890711	0.0877545	0.086438	0.0851215	0.0837967	0.0824718	0.081147	0.0798222	0.0787914	0.0777606	0.0767299	0.0756991	0.0744364	0.0731736	0.0719108	0.0706481	0.0693122	0.0679763	0.0666404	0.0653045	0.0645231	0.0637417	0.0629603	0.0621789	0.0605705	0.0589621	0.0573536	0.0557452	0.054127	0.0525088	0.0508906	0.0492723	0.0483267	0.0473862	0.0464558	0.0455403	0.0446441	0.0437714	0.0429257	0.0421103	0.0413276	0.0405797	0.0398682	0.039194	0.0385576	0.0379591	0.0373981	0.036874	0.0363859	0.0359325	0.0355125	0.0351243	0.0347664	0.034437	0.0341345	0.033857	0.0336031	0.0333709	0.033159	0.0329658	0.0327898	0.0326297	0.0324841	0.0323519	0.0322319	0.0321231	0.0320245	0.0319351	0.0318542	0.031781	0.0317148	0.0316549	0.0316007	0.0315518	0.0315076	0.0314677	0.0314317	0.0313991	0.0313698	0.0313432
ADF fraction of Rx street supply net	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22E-05	6.43E-05	9.65E-05	0.000128682	0.00770652	0.0152844	0.0228622	0.03044	0.0487231	0.0670062	0.0852893	0.103572	0.100276	0.09698	0.0936838	0.0903876	0.0890711	0.0877545	0.086438	0.0851215	0.0837967	0.0824718	0.081147	0.0798222	0.0787914	0.0777606	0.0767299	0.0756991	0.0744364	0.0731736	0.0719108	0.0706481	0.0693122	0.0679763	0.0666404	0.0653045	0.0645231	0.0637417	0.0629603	0.0621789	0.0605705	0.0589621	0.0573536	0.0557452	0.054127	0.0525088	0.0508906	0.0492723	0.0483267	0.0473862	0.0464558	0.0455403	0.0446441	0.0437714	0.0429257	0.0421103	0.0413276	0.0405797	0.0398682	0.039194	0.0385576	0.0379591	0.0373981	0.036874	0.0363859	0.0359325	0.0355125	0.0351243	0.0347664	0.034437	0.0341345	0.033857	0.0336031	0.0333709	0.033159	0.0329658	0.0327898	0.0326297	0.0324841	0.0323519	0.0322319	0.0321231	0.0320245	0.0319351	0.0318542	0.031781	0.0317148	0.0316549	0.0316007	0.0315518	0.0315076	0.0314677	0.0314317	0.0313991	0.0313698	0.0313432
ADF fraction of prescribed Rx opioids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22E-05	6.43E-05	9.65E-05	0.000128682	0.00770652	0.0152844	0.0228622	0.03044	0.0487231	0.0670062	0.0852893	0.103572	0.100276	0.09698	0.0936838	0.0903876	0.0890711	0.0877545	0.086438	0.0851215	0.0837967	0.0824718	0.081147	0.0798222	0.0787914	0.0777606	0.0767299	0.0756991	0.0744364	0.0731736	0.0719108	0.0706481	0.0693122	0.0679763	0.0666404	0.0653045	0.0645231	0.0637417	0.0629603	0.0621789	0.0605705	0.0589621	0.0573536	0.0557452	0.054127	0.0525088	0.0508906	0.0492723	0.0483267	0.0473862	0.0464558	0.0455403	0.0446441	0.0437714	0.0429257	0.0421103	0.0413276	0.0405797	0.0398682	0.039194	0.0385576	0.0379591	0.0373981	0.036874	0.0363859	0.0359325	0.0355125	0.0351243	0.0347664	0.034437	0.0341345	0.033857	0.0336031	0.0333709	0.033159	0.0329658	0.0327898	0.0326297	0.0324841	0.0323519	0.0322319	0.0321231	0.0320245	0.0319351	0.0318542	0.031781	0.0317148	0.0316549	0.0316007	0.0315518	0.0315076	0.0314677	0.0314317	0.0313991	0.0313698	0.0313432
ADF fraction of prescribed Rx opioids base	0				0				0				0				0				0				0				0				0				0				0.000128682				0.03044				0.103572				0.0903876				0.0851215				0.0798222				0.0756991				0.0706481				0.0653045				0.0621789				0.0557452				0.0492723																																																
Average MME per day	22.6447	22.7146	22.7845	22.8545	22.9244	23.6958	24.4671	25.2385	26.0099	26.4335	26.857	27.2806	27.7042	28.1724	28.6405	29.1087	29.5768	29.9809	30.3849	30.7889	31.1929	31.667	32.141	32.615	33.089	33.4836	33.8782	34.2728	34.6674	35.5352	36.4029	37.2707	38.1384	38.5808	39.0233	39.4657	39.9081	40.2614	40.6147	40.968	41.3212	41.7982	42.2752	42.7521	43.2291	43.1592	43.0892	43.0192	42.9493	42.661	42.3727	42.0844	41.7961	41.4493	41.1026	40.7559	40.4092	40.4218	40.4345	40.4471	40.4598	40.1264	39.7931	39.4598	39.1264	39.2545	39.3825	39.5105	39.6385	39.4757	39.3129	39.1501	38.9873	38.3405	37.6937	37.047	36.4002	35.4837	34.5671	33.6506	32.734	32.3749	32.0157	31.6565	31.2973	30.8931	30.4911	30.0934	29.7021	29.3191	28.9461	28.5846	28.2361	27.9015	27.5819	27.2777	26.9896	26.7175	26.4617	26.222	25.998	25.7893	25.5955	25.416	25.2501	25.0971	24.9563	24.827	24.7084	24.5999	24.5007	24.4101	24.3275	24.2523	24.1838	24.1216	24.0651	24.0138	23.9673	23.9251	23.8869	23.8524	23.8211	23.7928	23.7672	23.744	23.7231	23.7042	23.6872	23.6718	23.6579	23.6453	23.634
Average MME per day DATA	22.6447				22.9244				26.0099				27.7042				29.5768				31.1929				33.089				34.6674				38.1384				39.9081				41.3212				43.2291				42.9493				41.7961				40.4092				40.4598				39.1264				39.6385				38.9873				36.4002				32.734				31.2973																																																
Average MME per day relative	1	1.00309	1.00618	1.00926	1.01235	1.04641	1.08048	1.11454	1.14861	1.16731	1.18602	1.20472	1.22343	1.2441	1.26478	1.28545	1.30613	1.32397	1.34181	1.35965	1.37749	1.39843	1.41936	1.44029	1.46123	1.47865	1.49608	1.5135	1.53093	1.56925	1.60757	1.64589	1.68421	1.70375	1.72328	1.74282	1.76236	1.77796	1.79356	1.80916	1.82476	1.84583	1.86689	1.88795	1.90902	1.90593	1.90284	1.89975	1.89666	1.88393	1.8712	1.85846	1.84573	1.83042	1.81511	1.7998	1.78449	1.78505	1.7856	1.78616	1.78672	1.772	1.75728	1.74256	1.72784	1.73349	1.73915	1.7448	1.75045	1.74326	1.73607	1.72888	1.72169	1.69313	1.66457	1.63601	1.60745	1.56697	1.5265	1.48602	1.44555	1.42969	1.41383	1.39796	1.3821	1.36425	1.3465	1.32894	1.31166	1.29474	1.27827	1.26231	1.24692	1.23214	1.21803	1.2046	1.19187	1.17986	1.16856	1.15797	1.14808	1.13887	1.13031	1.12238	1.11506	1.1083	1.10208	1.09637	1.09113	1.08634	1.08196	1.07796	1.07431	1.07099	1.06797	1.06522	1.06273	1.06046	1.05841	1.05654	1.05486	1.05333	1.05195	1.0507	1.04957	1.04855	1.04762	1.04679	1.04604	1.04536	1.04474	1.04419	1.04369
Average days per prescription	23.6306	23.4519	23.2732	23.0945	22.9158	22.6506	22.3854	22.1202	21.855	21.8692	21.8835	21.8977	21.912	21.9916	22.0712	22.1508	22.2303	22.222	22.2137	22.2053	22.197	22.0926	21.9883	21.8839	21.7796	21.8728	21.9661	22.0593	22.1525	21.9895	21.8265	21.6635	21.5005	21.5739	21.6474	21.7209	21.7944	21.7913	21.7881	21.785	21.7819	21.7963	21.8107	21.8251	21.8396	21.8842	21.9288	21.9734	22.018	21.9674	21.9168	21.8663	21.8157	21.9405	22.0653	22.1901	22.3149	22.2867	22.2584	22.2302	22.202	22.4908	22.7797	23.0685	23.3574	23.2391	23.1208	23.0025	22.8842	22.798	22.7117	22.6255	22.5393	22.6096	22.6799	22.7502	22.8204	23.0613	23.3021	23.543	23.7838	23.9498	24.1157	24.2817	24.4476	24.5695	24.6908	24.8107	24.9287	25.0442	25.1567	25.2657	25.3708	25.4717	25.5681	25.6598	25.7467	25.8287	25.9059	25.9782	26.0457	26.1087	26.1671	26.2212	26.2713	26.3174	26.3599	26.3989	26.4346	26.4674	26.4973	26.5246	26.5495	26.5722	26.5928	26.6116	26.6286	26.6441	26.6581	26.6708	26.6824	26.6928	26.7022	26.7108	26.7185	26.7255	26.7318	26.7375	26.7426	26.7472	26.7514	26.7552	26.7586
Average days per prescription DATA	23.6306				22.9158				21.855				21.912				22.2303				22.197				21.7796				22.1525				21.5005				21.7944				21.7819				21.8396				22.018				21.8157				22.3149				22.202				23.3574				22.8842				22.5393				22.8204				23.7838				24.4476																																																
Average days per prescription relative	1	0.992438	0.984876	0.977314	0.969752	0.958529	0.947305	0.936082	0.924858	0.925461	0.926064	0.926667	0.92727	0.930639	0.934007	0.937375	0.940744	0.940391	0.940038	0.939685	0.939332	0.934916	0.930501	0.926085	0.921669	0.925614	0.929559	0.933504	0.93745	0.930551	0.923653	0.916754	0.909856	0.912966	0.916075	0.919185	0.922295	0.922163	0.922031	0.921899	0.921767	0.922377	0.922986	0.923596	0.924206	0.926094	0.927982	0.92987	0.931759	0.929618	0.927477	0.925336	0.923195	0.928477	0.933758	0.93904	0.944322	0.943127	0.941932	0.940737	0.939542	0.951766	0.96399	0.976214	0.988439	0.983432	0.978425	0.973419	0.968412	0.964764	0.961115	0.957467	0.953818	0.956792	0.959767	0.962741	0.965716	0.975908	0.9861	0.996292	1.00648	1.01351	1.02053	1.02755	1.03457	1.03973	1.04486	1.04994	1.05493	1.05982	1.06458	1.06919	1.07364	1.07791	1.08199	1.08587	1.08955	1.09302	1.09629	1.09934	1.1022	1.10487	1.10734	1.10963	1.11175	1.1137	1.1155	1.11715	1.11866	1.12005	1.12131	1.12247	1.12352	1.12448	1.12536	1.12615	1.12687	1.12752	1.12812	1.12866	1.12914	1.12959	1.12998	1.13035	1.13067	1.13097	1.13123	1.13148	1.13169	1.13189	1.13207	1.13223	1.13237
Average duration of medical opioid use	0.175194	0.175828	0.176432	0.177007	0.177551	0.178438	0.179256	0.180005	0.180685	0.17999	0.179295	0.178599	0.177901	0.179934	0.181978	0.184031	0.186094	0.18906	0.192024	0.194986	0.197945	0.19769	0.197429	0.197161	0.196887	0.194689	0.192466	0.190217	0.187942	0.189804	0.191618	0.193384	0.195102	0.197535	0.19998	0.202438	0.204907	0.207427	0.209947	0.212466	0.214984	0.215094	0.215205	0.215315	0.215425	0.215891	0.216357	0.216824	0.21729	0.217098	0.216905	0.21671	0.216513	0.217996	0.219482	0.22097	0.222461	0.221565	0.220672	0.21978	0.218889	0.218909	0.218857	0.218732	0.218534	0.216564	0.214604	0.212651	0.210708	0.210021	0.209333	0.208644	0.207954	0.208185	0.208414	0.20864	0.208864	0.211523	0.214192	0.21687	0.219558	0.223131	0.226733	0.230363	0.234021	0.234544	0.235057	0.235559	0.236046	0.236518	0.236972	0.237406	0.23782	0.238213	0.238584	0.238934	0.239262	0.239568	0.239854	0.24012	0.240366	0.240593	0.240802	0.240995	0.241172	0.241335	0.241483	0.241619	0.241743	0.241856	0.241959	0.242053	0.242138	0.242215	0.242285	0.242349	0.242406	0.242458	0.242506	0.242548	0.242587	0.242622	0.242653	0.242682	0.242708	0.242731	0.242752	0.242771	0.242788	0.242804	0.242818	0.24283	0.242841
Average duration of medical opioid use DATA	0.175194				0.177551				0.180685				0.177901				0.186094				0.197945				0.196887				0.187942				0.195102				0.204907				0.214984				0.215425				0.21729				0.216513				0.222461				0.218889				0.218534				0.210708				0.207954				0.208864				0.219558				0.234021																																																
Avg MME per opioid Rx IQVIA	535.108				525.331				568.445				607.053				657.504				692.39				720.666				767.97				819.994				869.772				900.056				944.104				945.659				911.809				901.727				898.286				913.892				907.095				878.745				830.669				778.541				765.145																																																
Base survival probability net H OD	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.954544	0.953866	0.953188	0.95251	0.951832	0.952155	0.952478	0.952801	0.953124	0.953115	0.953105	0.953096	0.953087	0.953066	0.953046	0.953025	0.953005	0.95305	0.953096	0.953141	0.953187	0.953526	0.953866	0.954205	0.954544	0.95414	0.953736	0.953333	0.952929	0.951573	0.950217	0.948861	0.947506	0.944075	0.940645	0.937214	0.933784	0.927327	0.920869	0.914412	0.907954	0.899294	0.890633	0.881972	0.873311	0.868015	0.862719	0.857422	0.852126	0.847926	0.843726	0.839526	0.835326	0.829689	0.824052	0.818414	0.812777	0.809524	0.806289	0.803088	0.799939	0.796856	0.793854	0.790945	0.78814	0.785447	0.782874	0.780427	0.778107	0.775918	0.773859	0.77193	0.770127	0.768448	0.766888	0.765443	0.764108	0.762877	0.761744	0.760703	0.759749	0.758875	0.758076	0.757347	0.756683	0.756077	0.755526	0.755026	0.754571	0.754158	0.753784	0.753445	0.753137	0.752859	0.752607	0.752379	0.752173	0.751987	0.751819	0.751667	0.751529	0.751405	0.751293	0.751192	0.751101
