	1999	1999.25	1999.5	1999.75	2000	2000.25	2000.5	2000.75	2001	2001.25	2001.5	2001.75	2002	2002.25	2002.5	2002.75	2003	2003.25	2003.5	2003.75	2004	2004.25	2004.5	2004.75	2005	2005.25	2005.5	2005.75	2006	2006.25	2006.5	2006.75	2007	2007.25	2007.5	2007.75	2008	2008.25	2008.5	2008.75	2009	2009.25	2009.5	2009.75	2010	2010.25	2010.5	2010.75	2011	2011.25	2011.5	2011.75	2012	2012.25	2012.5	2012.75	2013	2013.25	2013.5	2013.75	2014	2014.25	2014.5	2014.75	2015	2015.25	2015.5	2015.75	2016	2016.25	2016.5	2016.75	2017	2017.25	2017.5	2017.75	2018	2018.25	2018.5	2018.75	2019	2019.25	2019.5	2019.75	2020
DataErr[HUD]	201331.8392				164927.8667				163465.3515				155839.4834				150802.4986				158078.2691				123100.3299				213157.2864				170699.8675				175479.3316				212534.4668				199859.7601				228329.8924				232943.7533				217759.9532				215107.8999				208785.5271				188292.5491				248090.0634				303332.5559				200909.6051				471897.5718
DataErr[InHT]																					87113.73803				62224.0986				46668.07395				65335.30353				71557.71338				93336.14789				74668.91831				80891.32817				71557.71338				112003.3775				108892.1725				74668.91831				90224.94296				52890.48381				74668.91831				56001.68874				180449.8859
DataErr[InRT]																					100000				102000				93000				105000				93000				99000				91000				102000				99000				82000				76000				115000				119000				119000				121000				113000				136000
DataErr[ROUT]	92416.0729				77922.1413				136128.5275				161413.4655				126612.2927				131582.455				146394.5817				150892.3006				214386.4682				147069.6563				159218.6844				256975.9159				146432.9852				233894.3558				216810.4491				217142.9651				248922.6482				220386.4228				141141.9821				208381.2787				175466.5454				284961.8261
DataVar[HUD]	737349	720757	704166	687575	670984	686294	701605	716916	732227	740341	748456	756570	764684	741774	718864	695954	673044	725437	777831	830224	882618	844160	805703	767245	728787	795434	862081	928727	995374	939634	883893	828153	772413	835476	898539	961603	1024670	1097700	1170730	1243760	1316790	1321490	1326200	1330900	1335600	1399400	1463200	1527010	1590810	1584600	1578400	1572190	1565980	1591290	1616610	1641920	1667230	1734550	1801870	1869190	1936510	1933350	1930190	1927030	1923870	1945780	1967700	1989620	2011540	2057100	2102660	2148220	2193780	2106280	2018790	1931290	1843790	1738010	1632230	1526460	1420680	1508260	1595840	1683420	1771000
DataVar[InHD]	108892	111510	114127	116745	119363	129833	140303	150774	161244	151559	141874	132189	122504	115960	109416	102872	96327.7	106060	115792	125524	135256	132390	129524	126659	123793	109988	96183.4	82378.4	68573.5	71621.2	74668.9	77716.6	80764.3	84633.2	88502.1	92371	96239.9	110966	125693	140419	155145	139539	123934	108328	92721.6	98598.3	104475	110352	116228	105781	95334.2	84887	74439.9	75990.7	77541.5	79092.4	80643.2	101429	122215	143001	163787	148915	134043	119171	104298	111059	117819	124579	131339	110797	90255.5	69713.9	49172.2	62752.5	76332.8	89913	103493	94219.4	84945.5	75671.6	66397.7	66397.7	66397.7	66397.7	66397.7
DataVar[InHO]	90224.9	92393.8	94562.7	96731.6	98900.4	107576	116251	124927	133602	125578	117553	109528	101503	96080.9	90658.7	85236.5	79814.4	84013.6	88212.7	92411.9	96611.1	94564.3	92517.4	90470.6	88423.7	89889.9	91356.1	92822.3	94288.6	98479.2	102670	106860	111051	110356	109660	108965	108270	124837	141404	157971	174539	178628	182718	186808	190897	202997	215096	227195	239294	237534	235773	234013	232252	237091	241930	246768	251607	251785	251964	252142	252321	229410	206498	183587	160676	171090	181504	191919	202333	173775	145216	116658	88100.2	99978.1	111856	123734	135612	115937	96262.1	76587.2	56912.3	56912.3	56912.3	56912.3	56912.3
DataVar[InHR]	124448	127440	130431	133423	136414	148381	160347	172313	184279	173210	162142	151073	140004	132525	125047	117568	110089	116380	122672	128964	135256	132390	129524	126659	123793	122132	120470	118808	117146	122353	127559	132766	137972	142577	147181	151786	156390	180320	204251	228181	252111	228627	205142	181657	158172	168197	178222	188247	198272	193368	188464	183560	178656	182378	186100	189822	193544	206025	218506	230987	243467	221360	199253	177146	155038	165087	175136	185185	195233	175109	154984	134860	114735	117278	119820	122363	124906	101742	78578	55414.2	32250.3	32250.3	32250.3	32250.3	32250.3
DataVar[InHT]	323565	331343	339121	346899	354677	385789	416901	448014	479126	450347	421568	392790	364011	344566	325121	305676	286231	306454	326677	346899	367122	359344	351566	343788	336010	322010	308009	294009	280008	292453	304898	317343	329788	337566	345344	353122	360900	416124	471348	526571	581795	546794	511793	476792	441791	469792	497793	525794	553795	536683	519571	502460	485348	495459	505571	515682	525794	559239	592685	626130	659575	599685	539794	479903	420013	447236	474459	501682	528905	459681	390456	321232	252008	280008	308009	336010	364011	311898	259786	207673	155560	196784	238007	279231	320454
