	Base Projected cumulative overdose deaths	Base Projected cumulative UD person years	Cnst Projected cumulative overdose deaths	Cnst Projected cumulative UD person years	Avg Projected cumulative overdose deaths	Avg Projected cumulative UD person years
Fent	-0.19705673261234644	0.015096877554535489	0.24498873481522773	-0.015885239713099283	-0.22102273371378708	0.015491058633817386
NxKD	0.04389456298971568	-0.0031850529429615798	-0.04073716449160669	0.0025921731470995345	0.04231586374066119	-0.0028886130450305574
HPI	0.0003685638193698021	6.0146922528029835e-05	-0.0003384532685626686	-6.795016987542469e-05	0.00035350854396623533	6.404854620172726e-05
BMDCap	0.0012043863720829098	0.00028159695547213967	-0.0013886538518968314	-0.00039763432741915186	0.0012965201119898707	0.00033961564144564577
MMTCap	0.07010885740589672	0.013702562532294797	-0.0621559473207442	-0.013355983389958475	0.06613240236332046	0.013529272961126635
VivCap	0.003534511606676094	0.0020203898067370023	-0.003450896071619366	-0.0018900213917201459	0.0034927038391477302	0.001955205599228574
PtRx	0.021197816991871548	0.030997536710127376	-0.02606753801792475	-0.03587517302126589	0.02363267750489815	0.033436354865696634
RxPP	0.0026678468933462665	0.0038603388458899146	-0.004451324115459019	-0.006372215930539826	0.0035595855044026426	0.005116277388214871
RxDur	-0.004362623619235022	-0.006036563860994994	0.008330264026731172	0.01162451239461432	-0.006346443822983097	-0.008830538127804658
MME	0.009215637592275889	0.02111156980733847	-0.013833447810174171	-0.02729583490625393	0.01152454270122503	0.0242037023567962
ADF	-6.785275335678365e-05	-5.467902048002712e-06	6.13861320432291e-05	0.0	-6.461944270000637e-05	-2.733951024001356e-06
MAC	0.03215267205965211	0.008759827621902527	0.03689125544745362	0.010486976217440545	0.03452196375355287	0.009623401919671535
