	Cumulative overdose deaths	Cumulative UD person years	Projected cumulative overdose deaths	Projected cumulative UD person years	Med elasticity	Max elasticity	Avg MAEN	Max MAEN
ADF substitutability factor	0.012179266852967106	-0.04702012900851052	-0.13400177133077207	-0.15430252405231412	0.04167688314513765	17.79734818295685	0.1268939466828189	0.269092945804139
Effect of MOUD Tx on OD death rate[Bup]	-0.0037079516415858453	-0.0027235459826583587	-0.01739165559584934	0.03054218553623077	0.052829696885656044	-2.4722779314100034	0.12690414370029163	0.26628968460501634
Effect of MOUD Tx on OD death rate[MMT]	-0.018418339136542283	-0.048511771358685805	0.1607437793975082	0.1263672636067769	0.4538495224812059	9.862524608033873	0.12860551615975951	0.26366030306284316
Effect of MOUD Tx on OD death rate[Viv]	-0.03166235784628719	-0.044133318689017056	-0.06587136308690292	-0.09780085287612442	0.154880988095977	-6.49902697923936	0.1284600847016489	0.26658900041989586
OxyContin withdrawal magnitude	-0.005305079426752544	0.04627059728031299	-0.15683907220566584	-0.01834452024345936	0.33034186598847415	7.204020217674096	0.12753443576418705	0.26631271191093664
Perceived risk decrease time	0.01616741635159974	-0.01435984053526955	-0.01676331190980575	-0.01584736041974238	0.050451097121342825	-1.9494075726918552	0.12749374832681515	0.26660023993826176
Perceived risk increase time	-0.04594310862710522	-0.023220641361683936	0.11583964669132166	-0.1086676143068049	0.0564635985177086	-2.1803496886270355	0.127335277305457	0.2662773485482733
Perceived risk weight NFOD	-0.006014913997937743	-0.015346847662499963	0.029322705348700823	-0.019524496863457495	0.09763794448753169	5.027230544436426	0.12723300856024417	0.268908414060097
Probability OD witnessed	-0.04148796270006126	-0.060949545383032974	0.18857042835086713	-0.22977986575707848	0.08634471113789208	6.143933206329046	0.12809484684666242	0.2730379775884787
Probability of calling emergency services	-0.02064124213578014	-0.0162596437275326	-0.06078477134274053	-0.10647230896727349	0.23111242095139486	-14.063139875148657	0.1285946382117369	0.2698447795100213
Remission rate HUD no MOUD Tx	0.003988149498632634	0.00462334917492141	-0.07571541416825249	-0.10964178105122196	0.067067083790272	2.9570275691790746	0.12700719681113176	0.2662335261752718
Rx demand HUD with Rx OUD or misuse	-0.008079038211515756	-0.08061547686544347	-0.04439547353177025	-0.1482242723934865	0.06744111057754902	12.399425175953855	0.1275873248942267	0.27143636580238295
Rx demand Rx OUD no H	0.9786003556644798	-0.05587350872870513	0.16970515720560603	-0.15552366264742845	0.0834678326528054	-6.157689216378876	0.13964139634273992	0.31713455278307
Sensitivity of Rx supply to patients receiving prescription	-0.052079441696429904	-0.032289233162252094	-0.08207365384845547	0.07451689561871937	0.0	51.023475224516815	0.1312563437984054	0.26321538261631083
Sensitivity of Rx supply to Rx per person	-0.007359863711762333	-0.0024489650525265894	-0.05181591325266598	-0.07835867996289933	0.06351445558160863	3.4512195369348095	0.12698808222822383	0.2669210165756658
Sensitivity of Rx supply to days per prescription	0.026889654347923547	0.01644517138302704	0.037857707084126245	0.09954337648937747	0.07278749722571833	3.4651008096523253	0.12807669992789844	0.26725236697599236
Sensitivity of Rx supply to MME per day	0.017895303136721608	-0.1828857416801978	-0.12420260194128278	-0.3425362362587606	0.029124191342269345	45.55165202843998	0.1291642667586615	0.2625464550441588
Time to readjust Rx street supply	-0.00741590328317169	0.008727220914458392	-0.008407836941821359	-0.011703721591376842	0.04440052722727222	-3.308537847121632	0.12701714587381147	0.2654042690275452
Tx average duration Bup	0.2993073508973803	0.3861943676772234	0.18878735652819167	0.23456837552893137	0.03820894674644995	2.0700369520434614	0.13651519660577638	0.2726439286902296
Tx average duration MMT	-0.0397227162006665	-0.03142096373453812	0.031851040656828596	-0.045470261845044366	0.11215207272504214	5.965625866539663	0.12780979118410057	0.26609007545828844
Tx average duration Viv	0.007331843926057653	-0.006055622675338476	-0.06642490395317942	-0.07672592161662284	0.463612180337698	-8.361772644503498	0.12820189319006223	0.2660375982645244
Tx seeking fraction Bup HUD	0.6450434867074136	0.8718909275492243	0.23944382607446768	0.6417289127201479	0.066432453112209	5.430574888483273	0.16128433636890546	0.31818103418252874
Tx seeking fraction Bup Rx OUD	-0.0024470612848752934	-0.007139104183425998	0.019082199322585664	-0.038033665007381715	0.09786971647215575	-2.442304866800199	0.12687675985523592	0.2658763679609971
Tx seeking fraction MMT HUD relative	0.0034090739274026034	0.02553602650225453	-0.08820000478738045	0.1369458912116439	0.0381624997210042	-5.840063139408827	0.12723014790009035	0.2676802910776787
Tx seeking fraction MMT Rx OUD relative	-0.013066560066948608	0.006760627766217343	-0.09857515588907638	-0.09843200316123968	0.07843066745924021	-3.354935653101479	0.12775571153433662	0.2655020175914519
Tx seeking rate HUD relative to Rx OUD no H	0.00288603792758193	-0.0605117001160661	-0.11034163943844026	-0.17750415735948674	0.05753629385147799	3.335480430990385	0.12754208586228388	0.2682540156214424
Tx success fraction inflection	0.005650656783776917	-0.05814436723195706	-0.17990078153986094	-0.2870910557772204	0.031511221684102746	27.44833277102647	0.1277773860116191	0.2637486135642894
