	Value	0.05	0.5	0.95
ADF effect strength initiating heroin with Rx OUD	1e-06	1e-06	0.13568045	0.5355353289999982
Base survival probability H OD relative to Rx	0.980638	0.96253915	0.98326026	0.992289037
Base survival probability Rx OD	0.973391	0.966957526	0.97344278	0.9776176870000001
Developing HUD rate no Rx OUD	0.05	0.05	0.053159033	0.06463925539999996
Developing HUD rate with Rx OUD	0.534512	0.441269113	0.54030956	0.6466342129999999
Developing Rx OUD rate	0.029716	0.02506038	0.028409844	0.03218829229999999
Fentanyl effect on base survival max relative to H	0.735793	0.6053626280000001	0.75790644	0.792251234
Fentanyl effect on OD rate H max	2.0	2.0	2.0179476000000003	2.09412529
Fraction Nx kits to H users	0.937116	0.910949428	0.93372552	0.95
Heroin availability strength developing HUD	1e-06	1e-06	0.032529131	0.15814794299999999
Heroin availability strength initiating NDHU no Rx	1e-06	1e-06	0.024633357999999998	0.10641214899999989
Heroin availability strength net quit NDHU	1.46412	1.1019686	1.5074578	1.9014449400000002
Initial stock correction[RXM]	1.14759	1.0613163599999997	1.1567163999999999	1.2
Initial stock correction[NDH]	1.2	1.13444196	1.184992	1.2
Initial stock correction[OUB]	1.13256	0.8124472420000001	1.0361321	1.2
Initial stock correction[OUM]	0.8	0.8	0.98915374	1.1907971000000002
Initial stock correction[OUV]	1.06029	0.803559037	1.0067752	1.2
Initial stock correction[OUT]	0.984126	0.863825147	0.98034341	1.1091444599999998
Initial stock correction[OUR]	0.8	0.8	0.82253163	0.927170697
Initial stock correction[OUS]	0.8	0.8	0.81099978	0.847930004
Initial stock correction[OHB]	0.919736	0.8	0.94230666	1.17457244
Initial stock correction[OHM]	0.8	0.8	0.97785067	1.18800775
Initial stock correction[OHV]	1.05315	0.8	0.97462327	1.19185699
Initial stock correction[OHT]	1.2	0.8237134129999999	1.0459005	1.2
Initial stock correction[OHR]	0.8	0.8	0.90530705	1.1513206399999998
Initial stock correction[OHS]	0.8	0.8	0.9195648000000001	1.1668987100000001
Initial stock correction[HUB]	0.948642	0.8	0.96749136	1.1890181999999998
Initial stock correction[HUM]	1.2	1.0889961899999998	1.1759893	1.2
Initial stock correction[HUV]	1.09595	0.8	0.963068	1.19178027
Initial stock correction[HUT]	0.8	0.8	0.80710536	0.8369045919999999
Initial stock correction[HUR]	1.2	0.918336555	1.1256278	1.2
Initial stock correction[HUS]	1.2	1.1378978800000001	1.1862747	1.2
Initiating heroin no Rx base	119578.0	113597.063	119109.19	124250.75200000001
Initiating Rx misuse diverted base	1879840.0	1800000.0	1870838.7	2040037.2999999998
Initiation rate heroin with Rx misuse	0.0133614	0.0120781277	0.013039016	0.014151773599999999
Initiation rate heroin with Rx OUD relative to Rx misuse	4.26793	3.865986	4.3846008	4.90716078
Initiation rate Rx misuse own Rx	0.0346416	0.0296756127	0.034723334	0.040521392
Net quit rate heroin with Rx misuse	0.0923572	0.0469047069	0.10198292	0.153245259
Net quit rate heroin with Rx OUD	0.102272	0.033396154	0.093207989	0.16600285999999997
Net quit rate NDHU	0.5	0.446058289	0.48987426	0.5
Net quit rate Rx misuse	0.14317	0.119236474	0.14539776	0.17417254299999999
NSDUH misuse redefinition fixed effect	0.440093	0.394022004	0.44420429999999994	0.49296779300000004
Nx kit distribution efficiency	0.00034343	0.000328655012	0.00034624407	0.000363750323
Overdose rate base HUD	0.16737	0.115188002	0.18010377	0.199646406
Overdose rate NDHU relative to HUD	0.25	0.25	0.25915741	0.30824672
Overdose rate base Rx misuse	0.001	0.001	0.0015369479000000002	0.003359457089999996
Overdose rate base Rx OUD	0.251252	0.19845575399999998	0.24920846	0.29757111
Overdose rate synth baseline	0.00722299	0.00506761136	0.0078323944	0.009175112019999999
Perceived risk strength initiating heroin with Rx use	0.92771	0.8017112260000001	0.92958734	1.0430769899999999
Perceived risk strength initiating NDHU no Rx	0.271356	0.18930453600000002	0.29326747	0.420102506
Perceived risk strength initiating Rx misuse diverted	0.555569	0.432273237	0.53130977	0.667792419
Perceived risk strength initiating Rx misuse own Rx	0.565856	0.35992240500000006	0.58983856	0.8234284659999999
Perceived risk strength net quit heroin with Rx OUD	1e-06	1e-06	0.17253611	0.46654711699999996
Perceived risk strength net quit NDHU	1e-06	1e-06	0.0083035643	0.0391871602
Perceived risk strength net quit NDHU with Rx	1e-06	1e-06	0.015923918999999998	0.08289405799999999
Perceived risk strength net quit Rx misuse	0.559232	0.358991878	0.56073771	0.7614945919999998
Relapse rate HUD	0.583015	0.505359477	0.56784157	0.6410100000000001
Relapse rate Rx OUD relative to HUD	0.137539	0.12466102	0.18678848	0.3594669519999998
Remission rate Rx OUD relative to HUD	1.0	1.0	1.1433623	1.5645072
Rx availability strength developing Rx OUD	1.21521	0.9569155210000001	1.2665246000000001	1.6150609799999995
Rx availability strength initiating Rx misuse	0.388347	0.0154478151	0.33853608	0.7456260949999999
Rx availability strength net quit Rx misuse	1.04433	0.65087812	1.0552164	1.4777441099999995
Rx vs H availability strength developing HUD with Rx OUD	1.26477	0.799591963	1.2011376	1.6651138399999978
Rx vs H availability strength initiating heroin with Rx OUD	1e-06	1e-06	0.016931827	0.0805338692
Rx vs H availability strength initiating NDHU with Rx	0.18897	0.0346057353	0.19969655	0.37375793
Social influence strength developing HUD	1e-06	1e-06	0.01464623	0.06286286889999994
Social influence strength developing Rx OUD	1e-06	1e-06	0.031707431	0.13870272
Social influence strength initiating heroin with Rx OUD	1.95179	1.73732917	1.9202696	2.0
Social influence strength initiating NDHU no Rx	0.120815	0.00611697422	0.13699534	0.331736827
Social influence strength initiating NDHU with Rx	1.78962	1.5925590900000002	1.8060076	1.9779509499999999
Social influence strength initiating Rx misuse	0.790187	0.461144163	0.79233232	1.1234237799999995
Time to stabilize remission	9.74248	8.879271590000002	9.6250547	10.452785699999998
Tx seeking rate Rx OUD no H total	0.493158	0.37544286299999996	0.51940025	0.820409095
