	Base Projected cumulative overdose deaths	Base Projected cumulative UD person years	Cnst Projected cumulative overdose deaths	Cnst Projected cumulative UD person years	Avg Projected cumulative overdose deaths	Avg Projected cumulative UD person years
Fent	-0.2022870237239396	0.014354378818737272	0.2519629470608847	-0.015042163258951217	-0.22712498539241216	0.014698271038844244
NxKD	0.045300143781452196	-0.003163611676849966	-0.041318534530266314	0.0024459210374321344	0.04330933915585926	-0.0028047663571410504
HPI	0.0003280014378145219	5.7026476578411405e-05	-0.0003322986015493011	-5.7757888974270115e-05	0.0003301500196819115	5.7392182776340756e-05
BMDCap	0.0005421758926431823	0.0001249151391717583	-0.0009195788032973234	-0.00024609883128167266	0.0007308773479702529	0.00018550698522671547
MMTCap	0.0594027078840163	0.011247793618465717	-0.05403142360339997	-0.01126781077511087	0.056717065743708134	0.011257802196788293
VivCap	0.002925053918044572	0.0018655804480651732	-0.0030301684359099637	-0.0018005394084587684	0.0029776111769772677	0.001833059928261971
PtRx	0.018085010783608916	0.029963340122199592	-0.023269127321360713	-0.035086661945587044	0.020677069052484814	0.03252500103389332
RxPP	0.0022795351066379104	0.0036605566870332655	-0.004081350645761465	-0.006175071695118705	0.003180442876199688	0.004917814191075985
RxDur	-0.0037158519051042416	-0.005862864901561439	0.007558970663955637	0.011433550804341384	-0.00563741128452994	-0.008648207852951412
MME	0.007223520249221183	0.020388323150033943	-0.011929848804136296	-0.026799660484061332	0.009576684526678739	0.02359399181704764
ADF	-9.285885454109754e-05	0.0	9.047734200599783e-05	0.0	-9.166809827354768e-05	0.0
MAC	0.031107443957911252	0.008244399185336048	0.03622952052841161	0.010032294193574308	0.03366848224316143	0.009138346689455179
