	Value	Asf_L	Asf_H	EoMToOdrB_L	EoMToOdrB_H	EoMToOdrM_L	EoMToOdrM_H	EoMToOdrV_L	EoMToOdrV_H	Owm_L	Owm_H	Prdt_L	Prdt_H	Prit_L	Prit_H	PrwN_L	PrwN_H	POw_L	POw_H	Poces_L	Poces_H	RrHnMT_L	RrHnMT_H	RdHwROom_L	RdHwROom_H	RdROnH_L	RdROnH_H	SoRstprp_L	SoRstprp_H	SoRstRpp_L	SoRstRpp_H	SoRstdpp_L	SoRstdpp_H	SoRstMpd_L	SoRstMpd_H	TtrRss_L	TtrRss_H	TadB_L	TadB_H	TadM_L	TadM_H	TadV_L	TadV_H	TsfBH_L	TsfBH_H	TsfBRO_L	TsfBRO_H	TsfMHr_L	TsfMHr_H	TsfMROr_L	TsfMROr_H	TsrHrtROnH_L	TsrHrtROnH_H	Tsfi_L	Tsfi_H
ADF effect strength initiating heroin with Rx OUD	1e-06	1e-06	0.0231689	1e-06	1e-06	4.09678e-05	1e-06	4.29283e-05	1e-06	3.64412e-06	1e-06	1e-06	1e-06	1e-06	1.3319e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1.01159e-06	1e-06	1e-06	1e-06	1e-06	0.000284316	1e-06	1e-06	1.4279e-06	1e-06	1e-06	1e-06	3.49743e-06	0.0610798	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0267621	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	2.14547e-06	1.51084e-05	1e-06	1e-06	0.391308	1.21969e-06
Base survival probability H OD relative to Rx	0.980638	0.983578	0.969412	0.980341	0.97859	0.912333	0.974508	0.969278	0.976957	0.988658	0.967092	0.979397	0.973582	0.978079	0.976354	0.973431	0.966892	0.976587	0.972933	0.974254	0.973398	0.982609	0.979043	0.975602	0.978212	0.974585	0.971004	0.977968	0.983972	0.969416	0.984026	0.968439	0.973398	0.972523	0.975822	0.969435	0.971338	0.979962	0.974717	0.962425	0.967154	0.975377	0.916176	0.979691	0.974621	0.974985	0.974757	0.979937	0.976341	0.973624	0.966142	0.968558	0.974505	0.978246	0.9782
Base survival probability Rx OD	0.973391	0.972839	0.973392	0.973555	0.973321	0.963516	0.973141	0.972528	0.970828	0.958639	0.970702	0.97395	0.973432	0.973534	0.97309	0.973917	0.973396	0.975891	0.972579	0.975562	0.962535	0.972718	0.973522	0.973395	0.97157	0.961226	0.972835	0.974489	0.978539	0.972701	0.972758	0.973646	0.97425	0.973391	0.972874	0.973782	0.973282	0.973103	0.97385	0.973391	0.972644	0.973583	0.955619	0.973366	0.973046	0.974196	0.973293	0.973547	0.973041	0.973711	0.974378	0.972904	0.973238	0.972412	0.97261
Developing HUD rate no Rx OUD	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0500246	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0593205	0.0500002	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0500023	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0500026	0.05	0.05
Developing HUD rate with Rx OUD	0.534512	0.536132	0.539033	0.539351	0.545394	0.595159	0.546061	0.539876	0.543831	0.596147	0.492496	0.539783	0.562624	0.542013	0.546826	0.53029	0.5408	0.611103	0.565675	0.533323	0.52585	0.548464	0.535888	0.558586	0.559089	0.548636	0.557406	0.534512	0.513287	0.581125	0.547166	0.574638	0.535413	0.534512	0.560429	0.548628	0.539853	0.544277	0.532965	0.548656	0.564185	0.545152	0.59308	0.542368	0.566069	0.541087	0.54704	0.545278	0.581454	0.541499	0.557785	0.570666	0.55479	0.584077	0.534795
Developing Rx OUD rate	0.029716	0.0297839	0.0264074	0.029773	0.0289643	0.0282492	0.0283101	0.0292509	0.0283942	0.0265066	0.030972	0.0296846	0.0288882	0.0290706	0.0295065	0.0293716	0.0288768	0.0275787	0.0290932	0.0299434	0.0270592	0.029347	0.0297773	0.0284914	0.0288682	0.0287077	0.0286455	0.0285407	0.0219388	0.0279524	0.0286329	0.0293467	0.0289077	0.0266733	0.0290126	0.0288184	0.0293112	0.0379469	0.0296425	0.0289379	0.0289927	0.029176	0.0246991	0.0524665	0.027851	0.029278	0.0292617	0.0294539	0.0285026	0.0289765	0.0281969	0.0288419	0.0285552	0.0293838	0.0291116
Fentanyl effect on base survival max relative to H	0.735793	0.751046	0.643402	0.733364	0.72431	0.8	0.732517	0.790739	0.685997	0.685568	0.797474	0.730298	0.677385	0.719765	0.705957	0.692332	0.642737	0.696633	0.658711	0.704042	0.577537	0.743262	0.728682	0.674302	0.703532	0.692749	0.664282	0.660586	0.786074	0.651989	0.752923	0.793942	0.691641	0.634274	0.702231	0.665319	0.674088	0.726273	0.701586	0.793051	0.772202	0.702594	0.8	0.729223	0.685134	0.701884	0.698081	0.730779	0.694908	0.692944	0.797104	0.641148	0.693532	0.720754	0.715475
Fentanyl effect on OD rate H max	2.0	2.0	2.0	2.0	2.0	5.14252	2.16548	2.92827	2.0	2.0	3.16842	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.932	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.24601	2.8624	2.0	5.13501	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.07769	2.0	2.0	2.0788	2.0
Fraction Nx kits to H users	0.937116	0.932466	0.95	0.937723	0.939557	0.95	0.943493	0.947034	0.939156	0.919368	0.945419	0.939435	0.944518	0.940507	0.941943	0.945977	0.95	0.94494	0.94674	0.947067	0.939912	0.933839	0.939034	0.945414	0.939209	0.943253	0.947665	0.947889	0.938246	0.948797	0.931523	0.946863	0.946823	0.95	0.942238	0.95	0.947259	0.93779	0.944222	0.95	0.946623	0.943794	0.95	0.93815	0.943483	0.945043	0.943973	0.938097	0.942348	0.946114	0.949864	0.94957	0.944526	0.931777	0.939353
Heroin availability strength developing HUD	1e-06	1e-06	1e-06	1.01117e-06	1.03092e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	9.53471e-05	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1.00083e-06	1e-06	1e-06	1e-06	6.55068e-06	1e-06	1e-06	1e-06	1e-06
