	ADF effect strength initiating heroin with Rx OUD	Base survival probability H OD relative to Rx	Base survival probability Rx OD	Developing HUD rate no Rx OUD 	Developing HUD rate with Rx OUD 	Developing Rx OUD rate 	Fentanyl effect on base survival max relative to H	Fentanyl effect on OD rate H max	Fraction Nx kits to H users 	Heroin availability strength developing HUD	Heroin availability strength initiating NDHU no Rx	Heroin availability strength net quit NDHU	Initial stock correction[RXM]	Initial stock correction[NDH]	Initial stock correction[OUB]	Initial stock correction[OUM]	Initial stock correction[OUV]	Initial stock correction[OUT]	Initial stock correction[OUR]	Initial stock correction[OUS]	Initial stock correction[OHB]	Initial stock correction[OHM]	Initial stock correction[OHV]	Initial stock correction[OHT]	Initial stock correction[OHR]	Initial stock correction[OHS]	Initial stock correction[HUB]	Initial stock correction[HUM]	Initial stock correction[HUV]	Initial stock correction[HUT]	Initial stock correction[HUR]	Initial stock correction[HUS]	Initiating heroin no Rx base 	Initiating Rx misuse diverted base 	Initiation rate heroin with Rx misuse 	Initiation rate heroin with Rx OUD relative to Rx misuse	Initiation rate Rx misuse own Rx 	Net quit rate heroin with Rx misuse 	Net quit rate heroin with Rx OUD 	Net quit rate NDHU 	Net quit rate Rx misuse	NSDUH misuse redefinition fixed effect	Nx kit distribution efficiency	Overdose rate base HUD	Overdose rate NDHU relative to HUD	Overdose rate base Rx misuse	Overdose rate base Rx OUD	Overdose rate synth baseline	Perceived risk strength initiating heroin with Rx use	Perceived risk strength initiating NDHU no Rx	Perceived risk strength initiating Rx misuse diverted	Perceived risk strength initiating Rx misuse own Rx	Perceived risk strength net quit heroin with Rx OUD	Perceived risk strength net quit NDHU	Perceived risk strength net quit NDHU with Rx	Perceived risk strength net quit Rx misuse	Relapse rate HUD	Relapse rate Rx OUD relative to HUD	Remission rate Rx OUD relative to HUD	Rx availability strength developing Rx OUD	Rx availability strength initiating Rx misuse	Rx availability strength net quit Rx misuse	Rx vs H availability strength developing HUD with Rx OUD	Rx vs H availability strength initiating heroin with Rx OUD	Rx vs H availability strength initiating NDHU with Rx	Social influence strength developing HUD	Social influence strength developing Rx OUD	Social influence strength initiating heroin with Rx OUD	Social influence strength initiating NDHU no Rx	Social influence strength initiating NDHU with Rx	Social influence strength initiating Rx misuse	Time to stabilize remission	Tx seeking rate Rx OUD no H total
ADF effect strength initiating heroin with Rx OUD	1.0	-0.11567311378004207	0.07034170107562417	0.08813050099291976	0.03372709475667094	-0.07548388601606833	-0.08518131997291312	0.038308676604351596	0.12474126543274291	0.061419964186065344	0.0018359209013132966	0.014648590530375588	0.05509450983652575	0.03307734857409013	0.0922346326036431	-0.01244674966864083	-0.001674505703497419	0.02823610019331635	-0.004168730880788155	-0.03460160429019823	-0.048293585598012626	0.057349188031413534	-0.019806948120985834	0.0387878843361418	0.01840005545658174	-0.08950294021579432	0.027199096406431287	-0.1089735000889905	0.09052089922269922	-0.07283728404022155	-0.09864786871971253	0.044086786808139	0.043453952702619085	0.053767067459953626	0.015623875276157008	-0.01945837133244761	0.010346698900851355	-0.019138415220243083	0.031379427961789524	0.009627069084341276	0.1078699195145378	-0.04659200386501175	-0.05362708231679951	-0.10736223904232263	-0.0654761556591227	0.06272633664211434	0.05777287553723796	-0.10025191448143254	-0.015971401194117	-0.0355914773009476	0.0042723980335490075	-0.012215949774857515	0.041994307974721354	0.05011046038914261	0.012490459424379138	-0.05799127033170686	0.03236071792753978	-0.04630129561628259	-0.03087198949250385	0.07581424934668658	-0.010081723865748382	0.02796919895790577	-0.01638116528285914	0.15409251243798439	0.06395905963926218	-0.07693907254481501	0.023849210506596278	0.15767214908003524	-0.04806965684840097	-0.047477741055210014	-0.02740492001761444	0.006708050247163417	0.027177102402237908
Base survival probability H OD relative to Rx	-0.11567311378004207	1.0	-0.36772733967285665	-0.0670101550489857	0.009930900224228328	0.03063745691133009	0.8733750513054804	0.0972950125640723	-0.7641803524441794	-0.016271637083269872	-0.05977284959226444	-0.00647752213607895	-0.04823235119255367	0.032143149641175636	-0.035600557686898134	-0.13258714102164124	-0.0028650649605483107	-0.009081614211662247	0.0426417023166144	-0.018011123844933915	-0.12355469572983067	0.08173445570498608	-0.008494007389315553	0.07961257172375347	0.007128791080979654	0.07011919829322488	0.07507005695699344	0.05488928837153864	0.009009622281145034	-0.06782148806276668	0.08821226213854318	0.04115032949439366	0.02801742735510666	-0.030715008690644672	0.005767214658909794	0.018397685442811104	0.000569505474309009	-0.03174659831750494	-0.0764567600920295	0.03976159716386138	-0.021461451250113398	0.006508409333355507	0.34735553189767626	0.8841705718758467	-0.11342232951078855	0.007720127011342755	-0.37449815448229246	0.8605616587315991	0.37912800681919834	0.15896280410530242	-0.027199359135915403	-0.024931087785440575	-0.02566533026739375	0.06110616119140839	0.06453977665571152	0.013267256649917604	0.0405892879931201	0.08281217222765926	0.08032438373900244	0.07793417067520786	-0.03114479051907197	0.01651073646287388	-0.0045035411018388765	0.008597299850284417	-0.06705554531297944	0.034499346226420355	-0.06432845568567733	0.22570967770173905	0.13032666885950936	0.26253647534695856	0.00214068625255885	0.0190851904745304	-0.012196981283983969
Base survival probability Rx OD	0.07034170107562417	-0.36772733967285665	1.0	0.029968918018738768	0.052448665182698154	-0.027676400044099946	0.053314787506823065	-0.020422287729286375	0.5183875377006006	-0.010573113461990366	0.01247540474893986	-0.027423575348937062	0.05206898503014562	-0.06444111328511663	-0.05318161536382917	-0.018429156906165665	-0.0288265507241606	0.0055597151441600925	0.00829376477505112	-0.01164392454154609	0.03991552602596755	0.02268665216831673	-0.05766381102176564	0.010735417657563688	0.0130115587776041	-0.0626704321493494	-0.0005037965359325539	0.04911448414612451	-0.030814382630718253	-0.21806561182328166	-0.027144527822585158	0.006278056751944379	-0.003642631804578708	0.04327212135156833	0.0022514144117564494	0.008355594425562777	-0.03660616376626477	-6.247051903223226e-06	0.024342655644713055	-0.07224560181427303	0.012509134018720143	0.008002896882592304	-0.20878622427731933	0.04882195792597932	0.008486564087542845	0.08980721973128639	0.9431554058013222	0.029213098340792262	0.02485660525662135	-0.011639407020337196	-0.0523891737330794	-0.02548863212996812	0.025802297280159807	-0.01595508335689205	0.033683691836478596	-0.0157810949753789	-0.0032128669211498647	0.030864376424610866	0.04631555470645887	0.0028370125131057795	-0.005638096316324063	0.014304106512724946	-0.04293027297642346	-0.04032926958947908	0.021814099046226183	0.015400113471474745	0.046119084732161426	0.02548168585055885	0.006123754663250218	-0.012865200279580562	-0.01876625639526437	-0.011086897519521013	0.0029651861196124665
Developing HUD rate no Rx OUD 	0.08813050099291976	-0.0670101550489857	0.029968918018738768	1.0	-0.2789383767041366	-0.14967581797609483	-0.05801939539040895	-0.09723551821689168	0.055065039640425015	-0.18295732032939996	-0.025165485777379662	0.11524169609970712	0.08000782847582627	0.024280580010680185	0.02170516749110038	0.01601769997066741	-0.12080722832509676	0.09455478444086221	-0.08313905686463167	0.03511546705374271	0.008017013901857772	-0.012085760079041009	0.15388224431650208	-0.007252147943591974	0.07082981083516365	-0.025147496691359687	-0.0693108679777952	-0.0013998288240087322	0.01903724027580567	-0.060960555617393726	-0.08420067630343855	0.0720626579618388	0.0008147383468231154	-0.07216446913465799	0.029027009902498884	0.034771338166227655	-0.013362437093072298	-0.09520645546001444	0.5022134794368683	0.028750033048715987	0.08441077136844452	0.024953429507437352	-0.022825242970468954	-0.04152897825949273	-0.03835157106605979	-0.01317301303825043	0.0227408659168045	-0.05480359488958642	0.08913945968205451	-0.011933255625573675	-0.0166217155525848	0.03327000700441517	-0.050482447351704596	0.01845311209999728	0.010056514081898848	-0.06472389460079124	-0.03292520535915944	-0.04527949143727078	-0.040264946255443176	-0.05625074008312295	-0.048459340408659776	-0.10309167543871472	0.12868585346917696	-0.013877361771770165	0.07322374608785061	-0.10408760589361073	0.024856388164347744	0.06033226369662164	-0.0219199072474904	0.01700055604556219	0.05638437207179402	-0.01743298711392014	0.103616419025692
Developing HUD rate with Rx OUD 	0.03372709475667094	0.009930900224228328	0.052448665182698154	-0.2789383767041366	1.0	-0.20975033284739267	-0.014038674139933408	0.030201270177056067	0.007294609995494225	0.0016211714798065689	0.07059091888366631	-0.034569183305626944	0.3147723085565461	-0.006099593422298125	0.03909068267392	0.02933038582389734	0.05387788629162432	0.30536014599457584	-0.05291599816181187	-0.042546700957486264	0.042509690417324074	-0.06173157296105459	0.040118505368997456	0.01685931526702565	-0.07278597205128601	-0.06097612940826515	-0.04496389387852258	-0.012079687998479112	0.024301438940065048	-0.14130890929284973	-0.2064612798858253	-0.057018798972360334	-0.014310046282334371	-0.2057671110115232	0.17595647751005816	-0.017420772428704004	-0.09076077067700349	0.033714062006973786	-0.31664895000531795	0.022858165981017198	0.35623281753115077	-0.11166211408781339	0.026240722990447187	-0.01646775927809362	-0.06470010132988709	0.07185456124211279	0.01857079015458807	-0.03729956413756735	0.208551170358105	0.06774411920332392	-0.08537704475348959	0.018257011202765357	0.04866929338430587	-0.016370006721243488	0.06241462489322289	-0.23063504615819458	-0.09847002158866038	-0.041128290462664946	-0.04540823927309047	0.12149785322810283	-0.22234381180246826	-0.12249570078467842	-0.801390365633188	0.1208365657273871	0.17583592982260635	-0.14277376809589074	0.02126395640645103	0.04590042529268707	0.09484234317083613	-0.010368790407973758	0.23576940061867113	-0.03321641976834793	0.028289769213403357
Developing Rx OUD rate 	-0.07548388601606833	0.03063745691133009	-0.027676400044099946	-0.14967581797609483	-0.20975033284739267	1.0	0.0522071472059034	0.003730642888959474	-0.07041672541867755	-0.03615425791328735	-0.006934054507526401	-0.04990395441853606	-0.6383116211434412	-0.07160493592255583	-0.03718725349567597	-0.051169655630334446	-0.02235203664978562	-0.708735007970378	-0.08524985081118053	0.03342238565589701	0.05675086618153132	0.04601924931924894	-0.04047290924833399	-0.008775651314314408	-0.010961685103983225	0.01315515931824342	0.09540016350739901	0.01927135991221644	0.07475311813749673	0.1064518290178164	-0.01399554995755043	-0.0241561926971879	0.003079537658988292	0.30596006626721733	-0.12404217455195479	-0.006324537340873594	0.19969422892675598	-0.013681294985137878	-0.19354086293353437	0.009478804795446659	-0.6883559398935222	0.11950554269377875	0.04349476034736803	0.029000952127838237	-0.0005147343855231627	0.06784754753795702	-0.03243122529219041	0.04887413054103602	-0.2121787352951605	-0.12275546232849795	0.03388161579023154	-0.07108732856464521	0.0062413913002969355	-0.05693010495133635	0.02332556387021682	0.3144802696861651	0.002421465977960947	-0.012628429416040069	0.010441899828783165	-0.3001246284140007	0.31027901550299625	0.3128623412974272	-0.05209679045728424	-0.08973058630143083	-0.2595087845344179	0.028619944414691952	-0.33869572965666855	-0.1740627458452838	-0.12275199935501081	-0.05749649376298409	-0.2894552549676223	-0.11111425544132003	-0.07720957113725892
Fentanyl effect on base survival max relative to H	-0.08518131997291312	0.8733750513054804	0.053314787506823065	-0.05801939539040895	-0.014038674139933408	0.0522071472059034	1.0	0.17439020385335935	-0.6002474142934175	0.007963209639447591	-0.0443954697890336	-0.012003770207286386	-0.04774108779051104	-0.01293221340723084	-0.08875173807824727	-0.1624529202337391	-0.04502755833496088	-0.055252705828689325	0.09476694180372973	-0.034448908185131855	-0.12202254383967236	0.10986550560580631	-0.05386779825510029	0.06574096115398739	0.0036554303138573315	0.07678737153105313	0.09005924321435853	0.07172612765024358	-0.014008813605237612	-0.1900844212668021	0.060653926006632324	0.04822015180747425	0.015560473957224498	-0.010910126164879496	0.011822137977687212	-0.02977057167684281	0.005064459223286946	-0.042332406114658806	-0.11409059182907416	0.042268552192839794	-0.0438126388352831	0.00892661323344774	0.2539971682715524	0.9677327430265585	-0.13303555085221325	0.052925219885871254	0.009246520576832394	0.9616755390518097	0.3941366620103637	0.14723974821194796	-0.07249595596145346	-0.04547002140845251	-0.060101536495199795	0.06584511324241295	0.08680849346055784	0.0012292033180470797	0.03920632505742682	0.15051434701473904	0.14975530203841203	0.08556094446178927	-0.03950042998540403	0.03646503047770146	0.03383313211682759	-0.022795339513548223	-0.09221234076296735	0.07235974821915762	-0.033609181939480676	0.26502323199778133	0.1264991311537525	0.25210602334312304	-0.0038674997725861968	0.023648726902255203	-0.021843656582527706
Fentanyl effect on OD rate H max	0.038308676604351596	0.0972950125640723	-0.020422287729286375	-0.09723551821689168	0.030201270177056067	0.003730642888959474	0.17439020385335935	1.0	-0.12255693520996373	0.1329547045207995	0.04584067824971393	0.01667629939346389	0.002261128344646878	-0.03168111080037482	-0.09903299331446891	-0.1727034671171894	0.0911298576857278	-0.009306720837300348	0.09011558947882452	-0.12844212125861815	0.0295630970783139	0.04954193665328943	-0.05598657628131214	0.03554537353927412	0.01222695696622216	0.1420269197359121	0.01730887111447151	-0.06820502084434554	-0.06894332739663304	0.010522508883466597	0.09547284483718073	-0.04550992057081077	-0.047883958406904834	0.04856885023778712	0.044382485809804945	-0.06064883679403953	-0.018748647835225157	0.012344658211272026	-0.028983614515260336	0.04116977672688318	-0.012168038480975247	0.01767115913342308	0.042669234079618736	0.10845716982022151	-0.049147232250742356	0.04478490623729552	-0.056084630286287664	0.20923338898888275	0.033703053176436217	-0.03656871971879182	0.03351039029996362	-0.040594896973054496	0.016094977949139666	0.06365296820784005	0.048159129337098275	0.006570080230964216	0.07348356240023018	0.09591772040421873	0.1185140427310628	0.06382105836717329	0.031353930126319485	-0.01665195145001552	-0.04082485584703249	-0.004202216305500462	0.032510200587897164	0.09963084892110018	-0.07941551468639257	0.0765259072925767	-0.01827129969790506	-0.027530926203944647	-0.027274778577196505	0.024479992783776938	-0.04462643905357549
Fraction Nx kits to H users 	0.12474126543274291	-0.7641803524441794	0.5183875377006006	0.055065039640425015	0.007294609995494225	-0.07041672541867755	-0.6002474142934175	-0.12255693520996373	1.0	0.06780456981319075	0.02416646623252486	-0.0009222851291646204	0.04855586554081892	0.013941273889488591	0.07417089404974855	0.07618020103945643	0.05706418398619138	0.033593328219294456	-0.03514353157614129	-0.03885941151666873	0.12173252496629312	-0.05990026410241068	-0.02719649202232793	-0.025882774765829418	-0.008043710197185645	-0.07439533482848637	-0.06320828277726373	-0.03809367028853405	-0.018078008757802595	0.1002266808259143	-0.09515395178918792	-0.0366665865014599	-0.04906539267026095	0.06385348780682422	0.017273012700570786	0.005935992679746219	-0.027231331713052826	0.03799327744952381	0.10387866185813095	-0.0926705376109325	0.03396363563607322	0.01669333059335261	-0.4312886671270156	-0.611957004544649	0.10263064049123351	0.009071360511612612	0.5583097490328938	-0.6231067197342837	-0.2701565628351857	-0.12129913705878093	0.015972264011658657	0.015431210523058818	0.036523904392772644	-0.04772150704409313	-0.09152030600091468	0.004562957152685465	-0.03536691241594088	-0.04499181672171154	-0.03285534106903823	-0.017593442302992496	0.018542158290342028	0.02181242206291491	-0.004863815548967834	-0.00739734514987781	0.04590880443315396	-0.05527614042289958	0.040100384372688556	-0.16225477737712496	-0.0805399648219499	-0.18954974518085307	-0.042419265191478865	-0.027283765313071206	-0.010636674931431655
Heroin availability strength developing HUD	0.061419964186065344	-0.016271637083269872	-0.010573113461990366	-0.18295732032939996	0.0016211714798065689	-0.03615425791328735	0.007963209639447591	0.1329547045207995	0.06780456981319075	1.0	-0.0633728559681952	0.05869564067226442	0.02592711392700942	0.059487300759790473	-0.011273314346468404	0.013088695858688337	0.06190132628085487	0.031363447862233995	0.00014497637688123933	-0.04066666071547588	0.022873621613935944	0.041871010498251336	-0.0011774157503277457	-0.04201915408610237	-0.07145582994254716	0.10013604341932315	0.015515363303063174	-0.1261657744938037	0.08592054771645004	0.14281461522662886	-0.0702599243156649	-0.04717600714863734	-0.09367943499820779	0.034795156242645515	0.07002642976603353	-0.015169391114739358	-0.03769253713857869	0.02678292028181176	0.03102596758580224	-0.009288239983177963	0.062982633345237	-0.022438639492900554	-0.02800592727318921	-0.024829677444102468	0.02540881036639054	0.08567859219230464	-0.026295919487100652	-0.0033430675386868754	0.021941187819579624	-0.05308355174020699	0.01984312989615721	-0.007839493454043743	0.050242864669344946	0.048895825127661455	-0.01165240787468153	-0.011472358713684346	-0.01070196519811042	0.02127249356869827	0.02358056862225234	-0.0007978506044151027	-0.04339046736847099	0.03185835944833667	-0.00037707264831482196	0.08537151756470641	0.11739527276003422	0.09734795961099552	-0.007169505983539458	-0.010074349231948405	-0.004588887882309839	-0.108579446061021	0.028685046915081797	0.00842645799744367	-0.11954741501464577
