ADF effect strength initiating heroin with Rx OUD	Base survival probability H OD relative to Rx	Base survival probability Rx OD	Developing HUD rate no Rx OUD 	Developing HUD rate with Rx OUD 	Developing Rx OUD rate 	Fentanyl effect on base survival max relative to H	Fentanyl effect on OD rate H max	Fraction Nx kits to H users 	Heroin availability strength developing HUD	Heroin availability strength initiating NDHU no Rx	Heroin availability strength net quit NDHU	Initial stock correction[RXM]	Initial stock correction[NDH]	Initial stock correction[OUB]	Initial stock correction[OUM]	Initial stock correction[OUV]	Initial stock correction[OUT]	Initial stock correction[OUR]	Initial stock correction[OUS]	Initial stock correction[OHB]	Initial stock correction[OHM]	Initial stock correction[OHV]	Initial stock correction[OHT]	Initial stock correction[OHR]	Initial stock correction[OHS]	Initial stock correction[HUB]	Initial stock correction[HUM]	Initial stock correction[HUV]	Initial stock correction[HUT]	Initial stock correction[HUR]	Initial stock correction[HUS]	Initiating heroin no Rx base 	Initiating Rx misuse diverted base 	Initiation rate heroin with Rx misuse 	Initiation rate heroin with Rx OUD relative to Rx misuse	Initiation rate Rx misuse own Rx 	Net quit rate heroin with Rx misuse 	Net quit rate heroin with Rx OUD 	Net quit rate NDHU 	Net quit rate Rx misuse	NSDUH misuse redefinition fixed effect	Nx kit distribution efficiency	Overdose rate base HUD	Overdose rate NDHU relative to HUD	Overdose rate base Rx misuse	Overdose rate base Rx OUD	Overdose rate synth baseline	Perceived risk strength initiating heroin with Rx use	Perceived risk strength initiating NDHU no Rx	Perceived risk strength initiating Rx misuse diverted	Perceived risk strength initiating Rx misuse own Rx	Perceived risk strength net quit heroin with Rx OUD	Perceived risk strength net quit NDHU	Perceived risk strength net quit NDHU with Rx	Perceived risk strength net quit Rx misuse	Relapse rate HUD	Relapse rate Rx OUD relative to HUD	Remission rate Rx OUD relative to HUD	Rx availability strength developing Rx OUD	Rx availability strength initiating Rx misuse	Rx availability strength net quit Rx misuse	Rx vs H availability strength developing HUD with Rx OUD	Rx vs H availability strength initiating heroin with Rx OUD	Rx vs H availability strength initiating NDHU with Rx	Social influence strength developing HUD	Social influence strength developing Rx OUD	Social influence strength initiating heroin with Rx OUD	Social influence strength initiating NDHU no Rx	Social influence strength initiating NDHU with Rx	Social influence strength initiating Rx misuse	Time to stabilize remission	Tx seeking rate Rx OUD no H total
0.14729296	0.96833727	0.97422759	0.055965665	0.53111251	0.024460402000000003	0.65706844	2.0129733	0.94206838	0.12449654	0.061510645	1.5902628	1.19947	1.2	1.0704613	1.0553715	0.90017847	1.0260078	0.81737205	0.82638546	0.84468094	0.82774076	1.156409	0.96065647	0.93092307	0.97875097	0.92704785	1.0592559	0.85734425	0.81299307	1.2	1.1782696	121793.69	1865699.0	0.012063852	4.9599464000000015	0.034459717	0.086767891	0.19182558	0.5	0.16834177	0.40069928	0.00033443882000000003	0.129053	0.32683726	0.001896513	0.25734338	0.0057995927	0.99056748	0.2364452	0.48710581	0.63153785	0.035930829	1e-06	1e-06	0.4588091	0.54999978	0.21643065	1.2264151	1.2137106000000002	0.067860342	1.0404129	1.4653484	0.025461786	0.33411928	0.020129509	0.15737114	1.9114065	1e-06	1.9171138	0.98251217	10.182557	0.60068052
0.050910076	0.98276093	0.96378308	0.05	0.61990063	0.03065858	0.68534682	2.0148011	0.92573642	0.0037165255	0.07545244200000001	1.3684169	1.1007163	1.1836408	1.2	0.98343957	1.0188091	0.91814329	0.8	0.80580344	0.81039966	1.0106494	1.1720353	1.1222633999999998	0.80500873	0.8	0.90613257	1.1205868	0.99020989	0.81004155	0.98899481	1.1833785	120993.42	1800000.0	0.013504951	4.3552932	0.036382877	0.10367644	0.03916166	0.48662157	0.14663893	0.45553465	0.00035490417	0.13795452	0.28806390000000004	0.0011752795	0.19131767	0.0061171438	0.81024613	0.22936386	0.45497608	0.59978139	0.13895203	1e-06	0.0039219055	0.52699276	0.59852709	0.097666676	1.0	1.2975651	0.096578355	1.2731405	0.78640646	0.082199223	0.13775	0.073719351	0.054402909000000006	1.6621054	1e-06	1.6629428	0.85547092	8.971622300000002	0.51799988
0.027709736	0.98479682	0.97086077	0.056387625	0.48174102	0.027315903	0.73708468	2.0005556	0.92862383	0.078712882	0.0091614797	1.8352449	1.0988583	1.194317	1.0273933000000002	0.84783469	0.86408636	1.0288963	0.86060417	0.81582979	0.95210332	0.98945931	0.8655586999999999	1.1647733999999998	0.93335742	0.9740669	0.88964896	1.1915785	1.0131119	0.81863428	1.1043889999999998	1.1893522	119385.34	1933204.1	0.013676163	4.3921103	0.034379208	0.13427863	0.12566848	0.49112179	0.13271745	0.45524234	0.00035033322	0.17257181	0.25051934	0.001	0.2340388	0.0074865185	0.92925378	0.34246177	0.56513064	0.55719825	0.30952511	0.0059511669	0.0038211724	0.80245493	0.55363943	0.290271	1.3432437	1.3072479	0.45940054	1.0751819	1.3443067	0.08077842	0.2415401	0.031625648	0.024151933	1.8698872	0.22244542	1.7745447	0.56863827	9.578331	0.68273267
0.20092709	0.98739461	0.97580007	0.060079981	0.52125009	0.028354637	0.7852449	2.0055858	0.93640397	0.010035794	0.010967771	1.9541863	1.1217173	1.1909671	1.1056726	0.8	0.97205959	1.1060411	0.80720826	0.80558783	1.1497316	0.86493013	1.0462689	0.99526074	0.85220959	0.80024348	0.8	1.1785641000000002	0.8	0.80309745	1.2	1.2	122050.33	1800000.0	0.012784976000000002	4.5371739	0.038146924	0.16167746	0.11959366	0.4596404000000001	0.1420727	0.48577559	0.00033432339999999995	0.19820411	0.25503577	0.001	0.27323495	0.008736535699999999	0.99414875	0.38900523	0.60164024	0.86290432	0.16121705	0.0016380433	1e-06	0.58095605	0.6902948	0.1852979	1.3033253	1.2568035	0.75824222	0.57914883	1.2406034	0.0097553607	0.10988733	0.0048692739	0.022530404	1.9630499	0.18781048	1.9791138	0.72080565	9.0648319	0.49274961
0.046416991	0.98735171	0.96938741	0.056448689	0.62388645	0.022277018	0.73463656	2.0	0.93153997	1e-06	1e-06	1.3426789	1.1968662	1.1836983	1.0540534	1.0164149	1.019794	1.1823254	0.81988233	0.82065251	0.89449254	0.86703721	0.99830976	1.2	1.1376578000000002	0.8	1.0151682	1.1253505	1.0983716	0.80712804	1.2	1.1924605	117780.46	1800000.0	0.013065506	4.610696	0.03028664	0.083086843	0.072738216	0.49033991	0.1846484	0.43146574	0.00034492727999999994	0.16706747	0.29070952	0.0020210855	0.21191677	0.0073898691	1.0225566	0.3815249	0.49719037	0.51664101	0.47717871	0.016880612	1e-06	0.36857939	0.54004531	0.26883203	1.350049	1.8181277	0.03281462	0.61258454	1.120392	0.090776491	0.14652124	0.0014944795	1e-06	1.9187597	0.27245936	1.9737977	1.2329322	10.107786	0.52268896
0.36872311	0.98098847	0.96771858	0.059296068	0.4850890000000001	0.026023389	0.69922323	2.0	0.9441876	0.049210687	1e-06	1.8609855	1.0864625	1.1793688	1.1946674	1.0880076	0.92152902	0.92680101	0.94423213	0.80899034	0.84497626	1.0970008	1.1446525	1.1306451000000002	1.0077545	0.9555387	0.84774452	1.1949035	1.1046564	0.81091379	0.8202433000000001	1.2	116444.34	1922190.9	0.013053	4.7102858	0.039036062	0.13320994	0.12832698	0.44559287	0.13385168	0.5	0.00032605312000000004	0.14863743	0.25887382	0.0014555203	0.20720852	0.006490618	0.85171512	0.20188244	0.56535045	0.75581188	0.11377013	0.02204242	1e-06	0.76575658	0.54931247	0.44698515	1.752099	1.3961807	0.43228997	1.4891088	1.2088084	0.054338879000000014	0.17733812	0.022579919	0.11531209	1.7261235	0.090909659	1.7268064	0.68929354	9.784769699999998	0.56758171
0.048219116	0.96672397	0.97296766	0.05859924900000001	0.54588932	0.029319582	0.64378765	2.0054143	0.94456001	0.13835039	0.067771043	1.7237387	1.1388672	1.1963773000000002	1.1014723999999998	1.1916499	1.0100482	0.98816755	0.86790519	0.85031641	1.0323842	0.80048457	1.096991	0.85469885	1.0966909	1.003028	0.8607993	1.2	1.2	0.80526042	1.0860721000000002	1.1678864	118823.47	1979310.0	0.013692676	4.2103582	0.033805681000000004	0.092587565	0.12592022	0.5	0.13748246	0.42239254	0.0003448892	0.12279182	0.28656156	0.0021057081	0.23897203	0.0053779366	0.90590515	0.34791616	0.7347052	0.56831535	0.32576097	0.0056362568	0.052792173	0.51546551	0.55840233	0.18970306	1.1346181	1.309046	0.98222942	0.77913846	1.1859149	0.0083215052	0.16638513	9.3134256e-05	0.015602229	1.8573999	0.23597199	1.6770032	0.61296011	10.179063	0.38436823
0.18742538	0.99457298	0.96656976	0.059181811	0.49429756	0.028951716	0.79579181	2.0648921	0.90682335	1e-06	0.013420184	1.5606539	1.1596965	1.1208201	1.0181212	0.95876336	0.88411897	1.0385074	0.86479719	0.82185619	1.0113925	1.0562698	1.0992128	0.83989636	0.99544928	0.99499658	0.96908102	1.15562	0.8	0.80994868	1.2	1.1701996	116156.71	1800000.0	0.012628447	4.1346671000000015	0.034409995	0.079423965	0.1187276	0.5	0.15311383	0.402495	0.00036291691	0.19834053	0.26142978	0.0015268792000000002	0.19681033	0.0094810292	0.90427934	0.2851403	0.48957339	0.55841368	1e-06	0.0007173149499999999	0.064644638	0.54561468	0.53232305	0.17598863	1.0385916	1.233108	0.020519443	1.1883981	1.3715643	1e-06	0.14689054	0.027566616	0.0070708916	1.9494784	0.16932577	1.7523918	1.0125521	9.2288398	0.41997212
0.044082237	0.9822613	0.97469808	0.050344942	0.57312846	0.02947455	0.77018899	2.0096745	0.9306755	0.071008512	0.01219164	2.0	1.1469222	1.1909596000000002	1.1389343	0.90616731	1.1190229	0.97722892	0.8205545	0.80739161	0.97643175	1.0342564	0.80785602	1.2	0.8961239	0.93057827	0.92675991	1.1178205	0.80022184	0.81979803	1.0981052	1.0879796	118818.45	1829818.4	0.013638498	4.090198600000001	0.041339877	0.14801702	0.08352849799999999	0.47314773	0.14205567	0.47422502	0.00033850663	0.18321672	0.28630614	0.0014190775	0.2537633	0.008143226	0.96983327	0.33137445	0.48673803	0.87703096	0.034973401	0.012333583	0.035830589	0.60305956	0.58037863	0.23758728	1.2435439	1.196842	0.45347504	1.045218	0.97715599	0.0053144478	0.14734677	0.020406473	0.031875522	1.9719726	0.18954165	1.8039069	0.67926429	9.6189968	0.91189266
0.026344697	0.98465183	0.9717025	0.058241438	0.58222273	0.030022908	0.73206907	2.0191536	0.9382273	0.0054224575	0.019922118	1.4992745	1.1019469	1.1665981	1.0170779	1.0953700000000002	1.1933617	0.98643852	0.81389392	0.82750965	1.1750334999999998	0.89043112	0.88001163	1.1696314	0.82092152	1.083863	1.1267083	1.143536	0.96244811	0.80057124	1.1773173	1.1565098	120029.47	1837035.6	0.013721822	4.3605148	0.042468294	0.12780714	0.15571857	0.46446374	0.14821127	0.5	0.00035038557999999995	0.16624314	0.27389865	0.0020912851	0.23640367	0.007228180799999998	1.0016805	0.2754055	0.61344036	0.97086581	0.014401926	0.0091156784	0.016436282	0.56232102	0.58022803	0.19628052	1.2414126	0.99634546	0.33759823	1.2949536	1.0158039	0.049817817	0.27837593	0.0041074805	0.066847751	1.9603411	0.13070822	1.7974513	0.89567429	9.9967106	0.49147513
